Effective area for WFIRST (m^2) - parameters as of 2019 03 25

Mirror surfaces are coated with Ag

   Wave      R062      Z087      Y106      J129      H158      F184      W146    SNPrism   BAO-Grism_1st   BAO-Grism_0th
     1.335    0.0000    0.0000    0.0000    2.3308    0.0062    0.0000    2.3308    2.2614      1.9232      0.0000
     1.340    0.0000    0.0000    0.0000    2.3308    0.0155    0.0000    2.3308    2.2614      1.9204      0.0000
     1.345    0.0000    0.0000    0.0000    2.3319    0.0353    0.0000    2.3319    2.2625      1.9183      0.0000
     1.350    0.0000    0.0000    0.0000    2.3335    0.0739    0.0000    2.3335    2.2640      1.9162      0.0000
     1.355    0.0000    0.0000    0.0000    2.3334    0.1421    0.0000    2.3334    2.2640      1.9125      0.0000
     1.360    0.0000    0.0000    0.0000    2.3346    0.2518    0.0000    2.3346    2.2651      1.9095      0.0000
     1.365    0.0000    0.0000    0.0000    2.3347    0.4123    0.0000    2.3347    2.2652      1.9053      0.0000
     1.370    0.0000    0.0000    0.0000    2.3360    0.6260    0.0000    2.3360    2.2664      1.9019      0.0000
     1.375    0.0000    0.0000    0.0000    2.3375    0.8847    0.0000    2.3375    2.2679      1.8984      0.0000
     1.380    0.0000    0.0000    0.0000    2.3377    1.1688    0.0000    2.3377    2.2681      1.8935      0.0000
     1.385    0.0000    0.0000    0.0000    2.3399    1.4543    0.0000    2.3399    2.2703      1.8901      0.0000
     1.390    0.0000    0.0000    0.0000    2.3410    1.7139    0.0000    2.3412    2.2715      1.8856      0.0000
     1.395    0.0000    0.0000    0.0000    2.3414    1.9285    0.0000    2.3421    2.2723      1.8806      0.0001
     1.400    0.0000    0.0000    0.0000    2.3413    2.0904    0.0000    2.3431    2.2733      1.8755      0.0001
     1.405    0.0000    0.0000    0.0000    2.3393    2.2013    0.0000    2.3440    2.2742      1.8701      0.0001
     1.410    0.0000    0.0000    0.0000    2.3338    2.2709    0.0000    2.3452    2.2754      1.8646      0.0001
     1.415    0.0000    0.0000    0.0000    2.3213    2.3115    0.0000    2.3470    2.2771      1.8595      0.0001
     1.420    0.0000    0.0000    0.0000    2.2966    2.3348    0.0000    2.3504    2.2805      1.8554      0.0001
     1.425    0.0000    0.0000    0.0000    2.2514    2.3493    0.0000    2.3556    2.2854      1.8525      0.0002
     1.430    0.0000    0.0000    0.0000    2.1725    2.3573    0.0000    2.3596    2.2894      1.8485      0.0002
     1.435    0.0000    0.0000    0.0000    2.0518    2.3635    0.0000    2.3643    2.2939      1.8449      0.0002
     1.440    0.0000    0.0000    0.0000    1.8812    2.3672    0.0000    2.3674    2.2970      1.8398      0.0003
     1.445    0.0000    0.0000    0.0000    1.6620    2.3692    0.0000    2.3692    2.2987      1.8335      0.0003
     1.450    0.0000    0.0000    0.0000    1.4065    2.3722    0.0000    2.3723    2.3016      1.8280      0.0003
     1.455    0.0000    0.0000    0.0000    1.1316    2.3743    0.0000    2.3743    2.3036      1.8216      0.0004
     1.460    0.0000    0.0000    0.0000    0.8606    2.3759    0.0000    2.3759    2.3051      1.8147      0.0004
     1.465    0.0000    0.0000    0.0000    0.6158    2.3768    0.0000    2.3768    2.3061      1.8071      0.0005
     1.470    0.0000    0.0000    0.0000    0.4128    2.3777    0.0000    2.3777    2.3069      1.7994      0.0006
     1.475    0.0000    0.0000    0.0000    0.2585    2.3793    0.0000    2.3793    2.3085      1.7920      0.0006
     1.480    0.0000    0.0000    0.0000    0.1507    2.3796    0.0000    2.3796    2.3087      1.7836      0.0007
     1.485    0.0000    0.0000    0.0000    0.0817    2.3814    0.0000    2.3814    2.3105      1.7761      0.0008
     1.490    0.0000    0.0000    0.0000    0.0410    2.3823    0.0000    2.3823    2.3113      1.7679      0.0009
     1.495    0.0000    0.0000    0.0000    0.0191    2.3847    0.0000    2.3847    2.3137      1.7607      0.0009
     1.500    0.0000    0.0000    0.0000    0.0082    2.3864    0.0000    2.3864    2.3154      1.7529      0.0010
     1.505    0.0000    0.0000    0.0000    0.0033    2.3893    0.0000    2.3893    2.3182      1.7458      0.0011
     1.510    0.0000    0.0000    0.0000    0.0012    2.3942    0.0000    2.3942    2.3229      1.7401      0.0013
