#  z  dl_cm  age_gyr  dl_K_sum
0.4150  7.00142960e+27  9.05989e+00  41.676
0.4160  7.02140548e+27  9.05197e+00  41.679
0.4170  7.04139384e+27  9.04405e+00  41.682
0.4180  7.06139467e+27  9.03615e+00  41.684
0.4190  7.08140796e+27  9.02826e+00  41.687
0.4200  7.10143368e+27  9.02038e+00  41.690
0.4210  7.12147183e+27  9.01250e+00  41.693
0.4220  7.14152238e+27  9.00464e+00  41.695
0.4230  7.16158532e+27  8.99679e+00  41.698
0.4240  7.18166064e+27  8.98895e+00  41.701
0.4250  7.20174831e+27  8.98111e+00  41.703
0.4260  7.22184833e+27  8.97329e+00  41.706
0.4270  7.24196068e+27  8.96548e+00  41.708
0.4280  7.26208535e+27  8.95768e+00  41.711
0.4290  7.28222231e+27  8.94988e+00  41.713
0.4300  7.30237155e+27  8.94210e+00  41.716
0.4310  7.32253307e+27  8.93433e+00  41.718
0.4320  7.34270683e+27  8.92657e+00  41.720
0.4330  7.36289283e+27  8.91881e+00  41.723
0.4340  7.38309106e+27  8.91107e+00  41.725
0.4350  7.40330149e+27  8.90334e+00  41.727
0.4360  7.42352411e+27  8.89562e+00  41.729
0.4370  7.44375890e+27  8.88790e+00  41.731
0.4380  7.46400586e+27  8.88020e+00  41.733
0.4390  7.48426496e+27  8.87251e+00  41.736
0.4400  7.50453620e+27  8.86483e+00  41.738
0.4410  7.52481955e+27  8.85715e+00  41.740
0.4420  7.54511499e+27  8.84949e+00  41.741
0.4430  7.56542253e+27  8.84184e+00  41.743
0.4440  7.58574213e+27  8.83419e+00  41.745
0.4450  7.60607379e+27  8.82656e+00  41.747
0.4460  7.62641749e+27  8.81893e+00  41.749
0.4470  7.64677321e+27  8.81132e+00  41.751
0.4480  7.66714094e+27  8.80371e+00  41.753
0.4490  7.68752067e+27  8.79612e+00  41.755
0.4500  7.70791238e+27  8.78853e+00  41.757
0.4510  7.72831605e+27  8.78096e+00  41.759
0.4520  7.74873167e+27  8.77339e+00  41.761
0.4530  7.76915923e+27  8.76583e+00  41.763
0.4540  7.78959870e+27  8.75829e+00  41.765
0.4550  7.81005008e+27  8.75075e+00  41.767
0.4560  7.83051336e+27  8.74322e+00  41.770
0.4570  7.85098850e+27  8.73570e+00  41.772
0.4580  7.87147551e+27  8.72820e+00  41.774
0.4590  7.89197437e+27  8.72070e+00  41.777
0.4600  7.91248505e+27  8.71321e+00  41.779
0.4610  7.93300756e+27  8.70573e+00  41.782
0.4620  7.95354186e+27  8.69826e+00  41.784
0.4630  7.97408795e+27  8.69080e+00  41.787
0.4640  7.99464581e+27  8.68334e+00  41.790
0.4650  8.01521543e+27  8.67590e+00  41.792
0.4660  8.03579680e+27  8.66847e+00  41.795
0.4670  8.05638989e+27  8.66105e+00  41.798
0.4680  8.07699470e+27  8.65363e+00  41.801
0.4690  8.09761120e+27  8.64623e+00  41.804
0.4700  8.11823939e+27  8.63883e+00  41.807
0.4710  8.13887925e+27  8.63145e+00  41.810
0.4720  8.15953076e+27  8.62407e+00  41.813
0.4730  8.18019392e+27  8.61670e+00  41.816
0.4740  8.20086870e+27  8.60935e+00  41.820
0.4750  8.22155509e+27  8.60200e+00  41.823
0.4760  8.24225309e+27  8.59466e+00  41.826
0.4770  8.26296266e+27  8.58733e+00  41.830
0.4780  8.28368380e+27  8.58001e+00  41.833
0.4790  8.30441650e+27  8.57270e+00  41.836
0.4800  8.32516074e+27  8.56540e+00  41.840
0.4810  8.34591650e+27  8.55810e+00  41.843
0.4820  8.36668377e+27  8.55082e+00  41.846
0.4830  8.38746254e+27  8.54355e+00  41.850
0.4840  8.40825280e+27  8.53628e+00  41.853
0.4850  8.42905452e+27  8.52903e+00  41.856
0.4860  8.44986769e+27  8.52178e+00  41.859
0.4870  8.47069231e+27  8.51454e+00  41.863
0.4880  8.49152835e+27  8.50731e+00  41.866
0.4890  8.51237580e+27  8.50009e+00  41.869
0.4900  8.53323465e+27  8.49288e+00  41.872
0.4910  8.55410488e+27  8.48568e+00  41.875
0.4920  8.57498648e+27  8.47849e+00  41.878
0.4930  8.59587943e+27  8.47131e+00  41.880
0.4940  8.61678373e+27  8.46413e+00  41.883
0.4950  8.63769935e+27  8.45697e+00  41.886
0.4960  8.65862628e+27  8.44981e+00  41.888
0.4970  8.67956451e+27  8.44267e+00  41.891
0.4980  8.70051403e+27  8.43553e+00  41.894
0.4990  8.72147482e+27  8.42840e+00  41.896
0.5000  8.74244686e+27  8.42128e+00  41.898
0.5010  8.76343014e+27  8.41417e+00  41.901
0.5020  8.78442466e+27  8.40707e+00  41.903
0.5030  8.80543038e+27  8.39997e+00  41.905
0.5040  8.82644731e+27  8.39289e+00  41.907
0.5050  8.84747542e+27  8.38581e+00  41.909
0.5060  8.86851471e+27  8.37875e+00  41.911
0.5070  8.88956516e+27  8.37169e+00  41.913
0.5080  8.91062675e+27  8.36464e+00  41.915
0.5090  8.93169947e+27  8.35760e+00  41.917
0.5100  8.95278331e+27  8.35057e+00  41.919
0.5110  8.97387825e+27  8.34355e+00  41.921
0.5120  8.99498428e+27  8.33654e+00  41.923
0.5130  9.01610139e+27  8.32953e+00  41.925
0.5140  9.03722956e+27  8.32254e+00  41.927
0.5150  9.05836878e+27  8.31555e+00  41.928
0.5160  9.07951903e+27  8.30857e+00  41.930
0.5170  9.10068031e+27  8.30160e+00  41.932
0.5180  9.12185259e+27  8.29464e+00  41.934
0.5190  9.14303586e+27  8.28769e+00  41.935
0.5200  9.16423012e+27  8.28074e+00  41.937
0.5210  9.18543534e+27  8.27381e+00  41.939
0.5220  9.20665152e+27  8.26688e+00  41.941
0.5230  9.22787864e+27  8.25997e+00  41.942
0.5240  9.24911668e+27  8.25306e+00  41.944
0.5250  9.27036563e+27  8.24616e+00  41.946
0.5260  9.29162548e+27  8.23927e+00  41.948
0.5270  9.31289622e+27  8.23238e+00  41.949
0.5280  9.33417783e+27  8.22551e+00  41.951
0.5290  9.35547030e+27  8.21864e+00  41.953
0.5300  9.37677361e+27  8.21179e+00  41.955
0.5310  9.39808776e+27  8.20494e+00  41.956
0.5320  9.41941272e+27  8.19810e+00  41.958
0.5330  9.44074849e+27  8.19127e+00  41.960
0.5340  9.46209505e+27  8.18444e+00  41.961
0.5350  9.48345239e+27  8.17763e+00  41.963
0.5360  9.50482049e+27  8.17082e+00  41.965
0.5370  9.52619935e+27  8.16402e+00  41.966
0.5380  9.54758894e+27  8.15723e+00  41.968
0.5390  9.56898926e+27  8.15045e+00  41.970
0.5400  9.59040029e+27  8.14368e+00  41.971
0.5410  9.61182202e+27  8.13692e+00  41.973
